dataset,subject,roi_id,source_system,emotion_generation,reappraisal_effect,look_neu_base,look_neg_base,reg_neg_base,look_negative_minus_neutral,regulate_negative_minus_look_negative
AHAB,178,6,reappraisal_only,-0.247183880556893,-0.0956363942407604,0.00502643835226676,-0.242157442204626,-0.337793836445387,-0.247183880556893,-0.0956363942407604
AHAB,178,7,reappraisal_only,0.0144621481483972,0.0952674113326904,-0.387942787642224,-0.373480639493827,-0.278213228161136,0.0144621481483972,0.0952674113326904
AHAB,178,8,reappraisal_only,0.0691956834359602,-0.130758326703852,0.983281593972986,1.05247727740895,0.921718950705095,0.0691956834359602,-0.130758326703852
AHAB,178,9,reappraisal_only,-0.0664256001764443,0.286730212182738,0.352705049951328,0.286279449774884,0.573009661957622,-0.0664256001764443,0.286730212182738
AHAB,178,10,reappraisal_only,0.133282566009174,0.072033288825134,-0.183075368182141,-0.049792802172967,0.022240486652167,0.133282566009174,0.072033288825134
AHAB,178,11,reappraisal_only,0.0564536953278418,-0.236274302917133,0.412976648884692,0.469430344212534,0.233156041295401,0.0564536953278418,-0.236274302917133
AHAB,178,12,reappraisal_only,-0.00147246575215838,0.0017857803800143,0.00178370259702206,0.000311236844863684,0.00209701722487798,-0.00147246575215838,0.0017857803800143
AHAB,178,13,reappraisal_only,-0.000303487725821989,-3.9758746113096e-05,0.000470867626635092,0.000167379900813103,0.000127621154700007,-0.000303487725821989,-3.9758746113096e-05
AHAB,178,14,reappraisal_only,0.00285863545725311,-0.00910108816242433,-0.0295884431533207,-0.0267298076960675,-0.0358308958584919,0.00285863545725311,-0.00910108816242433
AHAB,178,15,reappraisal_only,0,0,0,0,0,0,0
AHAB,178,16,reappraisal_only,-0.127647240490963,0.270749112694628,0.30987244249425,0.182225202003287,0.452974314697915,-0.127647240490963,0.270749112694628
AHAB,178,17,common_appraisal,0.291736487717311,0.220173989547654,-0.161555519878198,0.130180967839113,0.350354957386767,0.291736487717311,0.220173989547654
AHAB,178,18,common_appraisal,0.634813996376159,0.144440265611637,-0.410220034206655,0.224593962169504,0.369034227781142,0.634813996376159,0.144440265611637
AHAB,178,19,common_appraisal,0.359050567554635,0.27383636017764,-0.447616676738646,-0.0885661091840104,0.185270250993629,0.359050567554635,0.27383636017764
AHAB,178,20,common_appraisal,0.201130058788483,0.0946661001793814,-0.39785017072837,-0.196720111939887,-0.102054011760505,0.201130058788483,0.0946661001793814
AHAB,178,21,common_appraisal,0.259993930396908,0.223430384162142,-0.575233310700329,-0.315239380303421,-0.0918089961412791,0.259993930396908,0.223430384162142
AHAB,178,22,common_appraisal,0.174215569059095,-0.0625446349372222,-0.159486728482447,0.0147288405766477,-0.0478157943605746,0.174215569059095,-0.0625446349372222
AHAB,178,23,common_appraisal,0.185447204837136,0.127410602107058,-0.183058331793781,0.00238887304335498,0.129799475150413,0.185447204837136,0.127410602107058
AHAB,178,24,common_appraisal,-0.311264712369569,-0.000768006274026204,0.451656629404455,0.140391917034886,0.13962391076086,-0.311264712369569,-0.000768006274026204
